label,model,prompt_id,prompt_category,run,input_tokens,output_tokens,total_tokens,cached_tokens,reasoning_tokens,thinking_overhead,latency_ms,usage_reported,timestamp,error
gemini,gemini/models/gemini-2.5-flash,simple-qa,simple,1,20,74,276,0,0,182,1355,True,2026-03-04T15:31:25.101187+00:00,
gemini,gemini/models/gemini-2.5-flash,simple-qa,simple,2,20,83,761,0,0,658,2288,True,2026-03-04T15:31:26.464642+00:00,
gemini,gemini/models/gemini-2.5-flash,simple-qa,simple,3,10,48,175,0,0,117,1540,True,2026-03-04T15:31:28.761143+00:00,
gemini,gemini/models/gemini-2.5-flash,short-explanation,simple,1,85,665,6035,0,0,5285,6768,True,2026-03-04T15:31:30.310707+00:00,
gemini,gemini/models/gemini-2.5-flash,short-explanation,simple,2,85,707,5812,0,0,5020,7146,True,2026-03-04T15:31:37.086372+00:00,
gemini,gemini/models/gemini-2.5-flash,short-explanation,simple,3,102,869,7703,0,0,6732,6989,True,2026-03-04T15:31:44.240995+00:00,
gemini,gemini/models/gemini-2.5-flash,code-generation,code,1,2296,75223,152895,0,0,75376,18471,True,2026-03-04T15:31:51.237969+00:00,
gemini,gemini/models/gemini-2.5-flash,code-generation,code,2,2009,59566,135222,0,0,73647,17505,True,2026-03-04T15:32:09.717827+00:00,
gemini,gemini/models/gemini-2.5-flash,code-generation,code,3,2091,63860,140513,0,0,74562,17489,True,2026-03-04T15:32:27.232612+00:00,
gemini,gemini/models/gemini-2.5-flash,code-review,code,1,3432,38098,172765,0,0,131235,22406,True,2026-03-04T15:32:44.731198+00:00,
gemini,gemini/models/gemini-2.5-flash,code-review,code,2,5544,97455,220683,0,0,117684,23065,True,2026-03-04T15:33:07.142336+00:00,
gemini,gemini/models/gemini-2.5-flash,code-review,code,3,3872,46663,196439,0,0,145904,24677,True,2026-03-04T15:33:30.220479+00:00,
gemini,gemini/models/gemini-2.5-flash,reasoning-math,reasoning,1,768,3620,21356,0,0,16968,8572,True,2026-03-04T15:33:54.906175+00:00,
gemini,gemini/models/gemini-2.5-flash,reasoning-math,reasoning,2,768,3450,17286,0,0,13068,6618,True,2026-03-04T15:34:03.485525+00:00,
gemini,gemini/models/gemini-2.5-flash,reasoning-math,reasoning,3,832,3804,23512,0,0,18876,8551,True,2026-03-04T15:34:10.108574+00:00,
gemini,gemini/models/gemini-2.5-flash,reasoning-architecture,reasoning,1,2744,75809,189601,0,0,111048,24159,True,2026-03-04T15:34:18.667987+00:00,
gemini,gemini/models/gemini-2.5-flash,reasoning-architecture,reasoning,2,2499,63049,176677,0,0,111129,23171,True,2026-03-04T15:34:42.832500+00:00,
gemini,gemini/models/gemini-2.5-flash,reasoning-architecture,reasoning,3,2646,72512,203786,0,0,128628,28485,True,2026-03-04T15:35:06.013644+00:00,
gemini,gemini/models/gemini-2.5-flash,long-input-summarize,long-context,1,2478,1152,7095,0,0,3465,4199,True,2026-03-04T15:35:34.506381+00:00,
gemini,gemini/models/gemini-2.5-flash,long-input-summarize,long-context,2,2124,774,7086,0,0,4188,5002,True,2026-03-04T15:35:38.714812+00:00,
gemini,gemini/models/gemini-2.5-flash,long-input-summarize,long-context,3,2478,1094,6715,0,0,3143,3859,True,2026-03-04T15:35:43.729204+00:00,
gemini,gemini/models/gemini-2.5-flash,creative-writing,creative,1,243,1776,14133,0,0,12114,9656,True,2026-03-04T15:35:47.596946+00:00,
gemini,gemini/models/gemini-2.5-flash,creative-writing,creative,2,216,1548,13940,0,0,12176,9802,True,2026-03-04T15:35:57.259236+00:00,
gemini,gemini/models/gemini-2.5-flash,creative-writing,creative,3,216,1669,15109,0,0,13224,10354,True,2026-03-04T15:36:07.071911+00:00,
gemini,gemini/models/gemini-2.5-flash,multi-step-analysis,reasoning,1,3773,59550,161274,0,0,97951,24022,True,2026-03-04T15:36:17.435041+00:00,
gemini,gemini/models/gemini-2.5-flash,multi-step-analysis,reasoning,2,3542,52700,136420,0,0,80178,21202,True,2026-03-04T15:36:41.466724+00:00,
gemini,gemini/models/gemini-2.5-flash,multi-step-analysis,reasoning,3,3311,45239,164392,0,0,115842,26030,True,2026-03-04T15:37:02.676234+00:00,
gemini,gemini/models/gemini-2.5-flash,data-extraction,structured,1,572,405,3257,0,0,2280,3664,True,2026-03-04T15:37:28.715138+00:00,
gemini,gemini/models/gemini-2.5-flash,data-extraction,structured,2,715,565,3895,0,0,2615,3234,True,2026-03-04T15:37:32.388014+00:00,
gemini,gemini/models/gemini-2.5-flash,data-extraction,structured,3,715,505,5430,0,0,4210,4350,True,2026-03-04T15:37:35.631212+00:00,
